,DrugBank_x,DrugBank_y,cell,score
274,514,1069,nan,1
275,318,1069,nan,1
276,388,1233,nan,1
277,388,852,nan,1
278,405,852,nan,1
279,455,852,nan,1
280,427,852,nan,1
281,341,852,nan,1
282,788,852,nan,1
283,388,1050,nan,1
284,852,1050,nan,1
285,497,1050,nan,1
286,956,1050,nan,1
287,927,1050,nan,1
288,388,1064,nan,1
289,388,6691,nan,1
290,1101,4845,nan,1
291,316,586,nan,1
292,338,586,nan,1
293,316,1009,nan,1
294,787,1009,nan,1
295,316,318,nan,1
296,316,647,nan,1
297,316,652,nan,1
298,316,497,nan,1
299,316,1551,nan,1
300,945,1551,nan,1
301,514,874,nan,1
302,852,874,nan,1
303,514,809,nan,1
304,514,908,nan,1
305,586,908,nan,1
306,682,908,nan,1
307,586,929,nan,1
308,586,759,nan,1
309,741,759,nan,1
310,51,563,nan,1
311,338,563,nan,1
312,213,563,nan,1
313,207,438,nan,1
314,207,1033,nan,1
315,615,1033,nan,1
316,207,685,nan,1
317,681,1609,nan,1
318,746,1609,nan,1
319,681,1263,nan,1
320,681,196,nan,1
321,321,850,nan,1
322,321,475,nan,1
323,495,3852,nan,1
324,277,1223,nan,1
325,277,1075,nan,1
326,852,1075,nan,1
327,1050,1075,nan,1
328,788,1075,nan,1
329,277,721,nan,1
330,759,721,nan,1
331,668,721,nan,1
332,766,1060,nan,1
333,815,1060,nan,1
334,338,1060,nan,1
335,766,1607,nan,1
336,997,4972,nan,1
337,537,1044,nan,1
338,537,741,nan,1
339,595,741,nan,1
340,537,684,nan,1
341,591,684,nan,1
342,567,1172,nan,1
343,790,808,nan,1
344,317,1217,nan,1
345,14,1217,nan,1
346,947,1217,nan,1
347,317,947,nan,1
348,4960,947,nan,1
349,317,641,nan,1
350,627,641,nan,1
351,1132,4876,nan,1
352,1132,6203,nan,1
353,331,6203,nan,1
354,1016,6203,nan,1
355,1132,1276,nan,1
356,860,1276,nan,1
357,331,1276,nan,1
358,30,1276,nan,1
359,381,790,nan,1
360,381,966,nan,1
361,612,966,nan,1
362,381,1076,nan,1
363,945,1076,nan,1
364,641,1076,nan,1
365,973,1076,nan,1
366,381,542,nan,1
367,381,1082,nan,1
368,381,678,nan,1
369,571,678,nan,1
370,335,678,nan,1
371,860,975,nan,1
372,945,975,nan,1
373,860,993,nan,1
374,65,993,nan,1
375,860,6151,nan,1
376,746,6151,nan,1
377,1064,6151,nan,1
378,860,446,nan,1
379,781,446,nan,1
380,741,446,nan,1
381,860,994,nan,1
382,781,994,nan,1
383,741,994,nan,1
384,620,994,nan,1
385,591,994,nan,1
386,260,3823,nan,1
387,480,928,nan,1
388,398,928,nan,1
389,5332,928,nan,1
390,6697,6708,nan,1
391,455,471,nan,1
392,528,584,nan,1
393,343,584,nan,1
394,1620,8799,nan,1
395,1620,6711,nan,1
396,945,8816,nan,1
397,945,8908,nan,1
398,945,1132,nan,1
399,331,1132,nan,1
400,222,1132,nan,1
401,945,736,nan,1
402,788,736,nan,1
403,945,1109,nan,1
404,682,1109,nan,1
405,945,956,nan,1
406,852,956,nan,1
407,725,956,nan,1
408,945,175,nan,1
409,177,175,nan,1
410,641,175,nan,1
411,1076,1131,nan,1
412,1117,1131,nan,1
413,1076,1098,nan,1
414,91,1098,nan,1
415,572,1081,nan,1
416,572,733,nan,1
417,572,1501,nan,1
418,572,1010,nan,1
419,572,454,nan,1
420,1069,454,nan,1
421,439,1241,nan,1
422,1098,1241,nan,1
423,503,1232,nan,1
424,503,1394,nan,1
425,1032,1394,nan,1
426,503,1264,nan,1
427,503,932,nan,1
428,199,417,nan,1
429,199,263,nan,1
430,91,98,nan,1
431,91,65,nan,1
432,563,65,nan,1
433,1114,1577,nan,1
434,1114,397,nan,1
435,956,397,nan,1
436,1017,5259,nan,1
437,781,1110,nan,1
438,398,1645,nan,1
439,627,973,nan,1
440,641,973,nan,1
441,627,945,nan,1
442,497,945,nan,1
443,395,945,nan,1
444,371,945,nan,1
445,423,945,nan,1
446,652,945,nan,1
447,241,945,nan,1
448,647,945,nan,1
449,704,1156,nan,1
450,704,1104,nan,1
451,169,1104,nan,1
452,334,1104,nan,1
453,1068,1104,nan,1
454,704,921,nan,1
455,531,860,nan,1
456,518,860,nan,1
457,634,860,nan,1
458,798,860,nan,1
459,588,860,nan,1
460,471,860,nan,1
461,394,983,nan,1
462,588,983,nan,1
463,938,983,nan,1
464,394,1001,nan,1
465,332,1001,nan,1
466,394,938,nan,1
467,588,938,nan,1
468,1234,26,nan,1
469,1234,8910,nan,1
470,1029,1197,nan,1
471,999,1197,nan,1
472,688,864,nan,1
473,563,864,nan,1
474,273,564,nan,1
475,555,564,nan,1
476,238,564,nan,1
477,273,776,nan,1
478,555,776,nan,1
479,273,1202,nan,1
480,776,1202,nan,1
481,273,191,nan,1
482,1590,1024,nan,1
483,1590,990,nan,1
484,675,990,nan,1
485,1262,5332,nan,1
486,555,715,nan,1
487,1045,2703,nan,1
488,1045,1211,nan,1
489,1033,1211,nan,1
490,588,1211,nan,1
491,1045,254,nan,1
492,1045,8870,nan,1
493,683,8870,nan,1
494,1026,8870,nan,1
495,399,7,nan,1
496,717,7,nan,1
497,783,7,nan,1
498,399,153,nan,1
499,125,153,nan,1
500,331,912,nan,1
501,331,1016,nan,1
502,331,1067,nan,1
503,331,1261,nan,1
504,641,1261,nan,1
505,331,412,nan,1
506,222,412,nan,1
507,331,8907,nan,1
508,331,6655,nan,1
509,331,1306,nan,1
510,912,1306,nan,1
511,331,158,nan,1
512,331,6168,nan,1
513,331,882,nan,1
514,331,47,nan,1
515,169,47,nan,1
516,46,47,nan,1
517,331,930,nan,1
518,331,421,nan,1
519,331,1120,nan,1
520,331,8882,nan,1
521,209,1591,nan,1
522,706,1591,nan,1
523,706,1126,nan,1
524,999,691,nan,1
525,999,1089,nan,1
526,999,1170,nan,1
527,999,1275,nan,1
528,883,1275,nan,1
529,999,598,nan,1
530,999,960,nan,1
531,999,206,nan,1
532,310,206,nan,1
533,880,206,nan,1
534,1324,206,nan,1
535,1325,206,nan,1
536,1275,206,nan,1
537,774,206,nan,1
538,232,206,nan,1
539,852,1114,nan,1
540,956,1114,nan,1
541,318,1114,nan,1
542,852,950,nan,1
543,501,950,nan,1
544,852,967,nan,1
545,852,719,nan,1
546,275,381,nan,1
547,177,381,nan,1
548,436,1203,nan,1
549,518,602,nan,1
550,864,1590,nan,1
551,1006,1590,nan,1
552,951,1201,nan,1
553,717,1006,nan,1
554,717,1357,nan,1
555,823,1357,nan,1
556,717,977,nan,1
557,294,977,nan,1
558,823,977,nan,1
559,367,977,nan,1
560,957,977,nan,1
561,717,783,nan,1
562,367,783,nan,1
563,678,722,nan,1
564,678,4861,nan,1
565,264,310,nan,1
566,177,731,nan,1
567,571,749,nan,1
568,479,560,nan,1
569,479,1212,nan,1
570,281,1212,nan,1
571,1137,1212,nan,1
572,1211,1212,nan,1
573,916,1212,nan,1
574,601,1212,nan,1
575,560,1137,nan,1
576,798,1137,nan,1
577,635,1137,nan,1
578,560,803,nan,1
579,1013,1026,nan,1
580,1394,1026,nan,1
581,1175,1255,nan,1
582,682,1225,nan,1
583,1098,1225,nan,1
584,55,1225,nan,1
585,104,211,nan,1
586,368,2638,nan,1
587,368,841,nan,1
588,286,1036,nan,1
589,1263,1036,nan,1
590,286,603,nan,1
591,641,1039,nan,1
592,641,60,nan,1
593,169,6724,nan,1
594,153,6724,nan,1
595,884,6724,nan,1
596,169,630,nan,1
597,30,41,nan,1
598,811,10366,nan,1
599,746,8826,nan,1
600,497,230,nan,1
601,497,327,nan,1
602,297,327,nan,1
603,497,1183,nan,1
604,652,1183,nan,1
605,921,1183,nan,1
606,1248,5294,nan,1
607,1248,8885,nan,1
608,973,1095,nan,1
609,760,218,nan,1
610,310,594,nan,1
611,310,335,nan,1
612,310,195,nan,1
613,1085,195,nan,1
614,310,575,nan,1
615,310,8822,nan,1
616,60,959,nan,1
617,994,959,nan,1
618,759,788,nan,1
619,669,788,nan,1
620,448,788,nan,1
621,787,788,nan,1
622,203,1088,nan,1
623,203,820,nan,1
624,203,6710,nan,1
625,668,750,nan,1
626,281,750,nan,1
627,675,14,nan,1
628,338,1390,nan,1
629,563,1129,nan,1
630,563,6674,nan,1
631,563,5,nan,1
632,1137,5,nan,1
633,563,6273,nan,1
634,563,1281,nan,1
635,813,829,nan,1
636,813,961,nan,1
637,813,450,nan,1
638,319,1606,nan,1
639,1032,1155,nan,1
640,318,1237,nan,1
641,1006,50,nan,1
642,796,1115,nan,1
643,371,286,nan,1
644,421,695,nan,1
645,519,661,nan,1
646,438,487,nan,1
647,438,479,nan,1
648,438,916,nan,1
649,355,512,nan,1
650,201,696,nan,1
651,363,472,nan,1
652,334,472,nan,1
653,741,787,nan,1
654,741,3904,nan,1
655,433,902,nan,1
656,73,1073,nan,1
657,73,78,nan,1
658,73,291,nan,1
659,73,635,nan,1
660,709,1048,nan,1
661,709,718,nan,1
662,442,718,nan,1
663,709,220,nan,1
664,281,668,nan,1
665,297,668,nan,1
666,281,727,nan,1
667,281,878,nan,1
668,281,297,nan,1
669,281,595,nan,1
670,227,627,nan,1
671,961,6707,nan,1
672,448,6616,nan,1
673,339,5154,nan,1
674,339,8903,nan,1
675,5154,8903,nan,1
676,335,8868,nan,1
677,343,8868,nan,1
678,222,331,nan,1
679,695,978,nan,1
680,863,978,nan,1
681,695,742,nan,1
682,3,742,nan,1
683,1638,742,nan,1
684,695,872,nan,1
685,620,646,nan,1
686,588,43,nan,1
687,588,972,nan,1
688,977,1395,nan,1
689,783,1395,nan,1
690,977,6713,nan,1
691,977,304,nan,1
692,977,506,nan,1
693,783,957,nan,1
694,6203,30,nan,1
695,912,30,nan,1
696,6203,4878,nan,1
697,472,1242,nan,1
698,472,1224,nan,1
699,472,215,nan,1
700,107,834,nan,1
701,929,834,nan,1
702,1259,6589,nan,1
703,327,1192,nan,1
704,602,643,nan,1
705,635,1204,nan,1
706,635,1041,nan,1
707,635,6772,nan,1
708,635,5812,nan,1
709,460,1270,nan,1
710,758,6209,nan,1
711,328,6372,nan,1
712,2546,56,nan,1
713,14,1128,nan,1
714,97,6719,nan,1
715,938,5039,nan,1
716,1211,6590,nan,1
717,476,1175,nan,1
718,659,1175,nan,1
719,1156,1175,nan,1
720,1156,1175,nan,1
721,1212,303,nan,1
722,1212,713,nan,1
723,1042,1008,nan,1
724,307,553,nan,1
725,1222,871,nan,1
726,238,495,nan,1
727,47,1309,nan,1
728,989,1043,nan,1
729,153,1043,nan,1
730,2325,898,nan,1
731,6285,6643,nan,1
732,312,599,nan,1
733,996,476,nan,1
734,1171,6288,nan,1
735,422,1576,nan,1
736,182,1576,nan,1
737,4398,1390,nan,1
738,471,588,nan,1
739,1421,5630,nan,1
740,58068,169,nan,1
741,910,1012,nan,1
742,208,1167,nan,1
743,7,396,nan,1
744,1356,740,nan,1
745,330,951,nan,1
746,608,1087,nan,1
747,165,366,nan,1
748,9696,8906,nan,1
749,457,1324,nan,1
750,206,1021,nan,1
751,359,1581,nan,1
752,646,4815,nan,1
753,1764,1369,nan,1
754,1089,232,nan,1
755,994,846,nan,1
756,894,783,nan,1
757,232,1626,nan,1
758,1015,1438,nan,1
759,263,1438,nan,1
